Antipulgas Bravecto 4,5Kg A 10Kg;7448407;R$ 128,90;"[<div class=""descricao"" id=""descricao"">
<div id=""skuDescricaoExterna"">
</div>
            Antipulgas Bravecto 4,5kg a 10kgBravecto de 4,5kg a 10kg tem 99,99% de eficácia garantida pela fabricante! Único comprimido que protege o seu cão por 90 dias, além disto, por ser um comprimido palatável (em forma de petisco) ele tem ação sistêmica sobre o cachorro, não tendo sua eficiência reduzida após banhos. Pode ser utilizado como parte de uma estratégia de tratamento para a dermatite alérgica à picada de pulgas.Bravecto é um antipulgas e carrapaticida que elimina carrapatos e pulgas em 12 e 8 horas. Respectivamente. Além disso, controla as populações de pulgas no ambiente, nas áreas às quais o cão tem acesso. 
                       
        </div>]"
Cama para cães e gatos colchão dupla face edredom, almofada cor azul coroas;12089811;R$ 59,90;"[<div class=""descricao"" id=""descricao"">
<div id=""skuDescricaoExterna"">
</div>
            Cama para cachorro pequeno porte 

Cama com fundo impermeável anti friagem 
Com colchão dupla face 

Medidas externa da cama 45 cm x 45 cm x17 altura
1 Cama 45cm x 45 cm x 17 cm
1 Almofada  14 cm x 14 cm
1 Edredom 80 cm x 55 cm

Composição 
tecido estampado 80% algodão 20%poliéster
Tecido liso 100% poliéster
fundo impermeável 
                       
        </div>]"
Caminha Pet Kit Berlim 05 pçs Comedouros Azul Cama Cachorro Azul Dogs - M;10609249;R$ 139,90;"[<div class=""descricao"" id=""descricao"">
<div id=""skuDescricaoExterna"">
</div>
<p><strong>KIT CONTÉM 05 PEÇAS - PARA PETS ATÉ 10 KG</strong><br/>
<br/>
01 CAMA BERLIM AZUL DOGS M - ( Altura: 21 cm Largura: 65 cm Comprimento: 53 cm )<br/>
01 COLCHONETE MADRI AZUL DOGS M - ( Largura: 55 cm x Comprimento: 65 cm x Altura: 10 cm)<br/>
01 JOGO AMERICANO EM TECIDO AZUL DOGS<br/>
01 COMEDOURO AZUL M - Capacidade 500 ml<br/>
01 BEBEDOURO AZUL M - Capacidade 500 ml<br/>
<br/>
- A Cama Berlim BinnoPet muito macia e super resistente<br/>
Feita para ser usada de ambos os lados. Muito conforto para seu Pet e elegância ao ambiente!<br/>
Composição: Algodão e Poliéster <br/>
Enchimento: Fibra Siliconada<br/>
Possui Botões nas laterais<br/>
<br/>
- Colchonete Binnopet modelo Madri<br/>
Composição:<br/>
Algodão e Poliéster<br/>
Enchimento em espuma de alta densidade<br/>
Fundo Impermeável<br/>
Possui zíper para retirada dos enchimentos para lavar.<br/>
<br/>
<br/>
<strong>Raças Recomendadas:</strong><br/>
Pug<br/>
Bulldog Francês<br/>
Fox paulistinha<br/>
Ihasa Apso<br/>
Shih Tzu<br/>
Poodle Toy<br/>
Schnauzer Miniatura<br/>
Lulu da Pomerânia<br/>
Maltês<br/>
<br/>
<strong>Dica Para lavar: </strong><br/>
Lavar a mão com sabão de coco. <br/>
Caso de máquina de lavar colocar pouco sabão e não centrifugar. <br/>
Secar à sombra.<br/>
<br/>
<strong>Postagem imediata: </strong><br/>
Até 24 horas após confirmação do pagamento.</p>
</div>]"
Caminha Pet Lux Orla do Vime em Argila 18litros 38x32 - Ov78;9908553;R$ 119,00;"[<div class=""descricao"" id=""descricao"">
<div id=""skuDescricaoExterna"">
</div>
            Caminha Pet Lux Orla do Vime em Argila 18litros 38x32 - Ov78<br/><br/><br/><br/>Caminhas Pet Luxo, seu cão merece um cantinho confortável para descansar A Cama para Cães e Gatos em fibra, resistente e possui lindas cores. A caminha confeccionada em plástico e fibra sintética e almofada tecido Gorgurão Corujas Ambos laváveis para melhor higienização do seu Pet.<br/><br/><br/><br/>Dimensões do produto<br/><br/>Largura: 38,00 cm <br/><br/>Altura: 32,00 cm<br/><br/>Profundidade: 1,200 kg<br/><br/>Peso: <br/><br/><br/><br/>Conteúdo da Embalagem: <br/><br/>01-Caminha Pet Lux Orla do Vime em Argila<br/><br/>01 - Almofada Coruja <br/><br/><br/><br/>Garantia do fornecedor: 03 meses contra defeito de fabricação<br/><br/>Imagens Meramente Ilustrativas 
                       
        </div>]"
Luva Escova Magnética Tira Pelos Dos Cães E Gatos;8601033;R$ 10,50;"[<div class=""descricao"" id=""descricao"">
<div id=""skuDescricaoExterna"">
</div>
<p>Luva Escova Magnética Tira Pelos Dos Cães E Gatos<br/>
Características:<br/>
Tamanho único, ajustável para vários tamanhos de mão.<br/>
Imita o toque de sua mão para uma massagem para seu pet.<br/>
Possuí 180 pontas de silicone, que potencializam em 100X a eficiência.<br/>
Os pelos aderem à luva pelo magnetismo, tornando mais fácil pegar e jogar fora o pelo do seu animal de estimação.<br/>
Cor: Azul Com Preto<br/>
Medidas Aproximadas :<br/>
22cm de Altura X 15cm de Comprimento .</p>
</div>]"
Cama Pet Pequena Deccoralle - Floral Rosê;10539478;R$ 56,10;"[<div class=""descricao"" id=""descricao"">
<div id=""skuDescricaoExterna"">
</div>
<p>Cama Pet Pequena Deccoralle</p><br/><br/><p><br/><br/>Produto de ótima qualidade, confortável e seguro para seu animal de estimação<br/><br/>Acompanha almofada e ossinho super macio<br/><br/>Luxo e conforto para seu animalzinho</p><br/><br/><p><br/><br/>Contém na embalagem: <br/><br/>01 Cama Pet Pequena 0,48cm (larg) x 0,48cm (comp) x 0,15cm (alt)<br/><br/>01 Almofada tamanho irregular<br/><br/>01 Ossinho tamanho irregular</p><br/><br/><p><br/><br/>Composição:<br/><br/>Estampado: 80% Algodão / 20% Poliéster<br/><br/>Liso: 100% Poliéster<br/><br/>Enchimento Laterais: Flocos de Espuma 100% Poliuretano<br/><br/>Enchimento Fundo e Almofadinhas: 100% Poliéster</p><br/>
</div>]"
Casa Casinha Pet Para Caes, Cachorro E Gatos Dobravel Cama Portatil Com Almofada;10309050;R$ 54,89;"[<div class=""descricao"" id=""descricao"">
<div id=""skuDescricaoExterna"">
</div>
            O seu CACHORRO precisa identificar o espaço reservado PARA ele. Mantenha o seu animal de estimação protegido e confortável nesta linda CASA. O melhor lugar PARA um cão estar PARA dormir e descansar.<br/>- Toda revestida em tecido sintético<br/>- Fácil de limpar<br/>- Bonita e moderna<br/>- Combina com qualquer decoração<br/>- Desmontável<br/>- Produto importado<br/>- Medida da CASA PEQUENA: 35x33x30cm (comp. X larg. X alt.)<br/>- Medida da CASA MEDIA: 40x38x35cm (comp. X larg. X alt.)<br/>- Medida da CASA GRANDE: 45x43x40cm (comp. X larg. X alt.)<br/>* Enviada conforme disponibilidade de estoque, não sendo possivel escolher a cor de envio. 
                       
        </div>]"
Cama Pet Cachorro Gato Senhor Bicho Dupla Face Lola - Marrom Póa Pink;3266068;R$ 119,90;"[<div class=""descricao"" id=""descricao"">
<div id=""skuDescricaoExterna"">
</div>
<div>
<p>A Cama Dupla Face Lola Senhor Bicho® tem design moderno e aconchegante, além de ser versátil, dando possibilidade de você ter duas caminhas em uma só. Confeccionada com materiais de primeira qualidade e ótimo acabamento, a Cama Dupla Face Lola traz, além de muito conforto, um toque de sofisticação ao cantinho do seu melhor amigo.</p>
<p> </p>
<p><strong>Cor:</strong> Marrom Poá Pink</p>
<p> </p>
<p><strong>Especificações:</strong> Confeccionada em Tecido Tricoline (70% Algodão / 30% Poliéster) e Tecido Liso Microfibra Tecnosport Plus (100% Poliéster). Possui enchimento em Fibra Siliconada e Botões nas laterais. Acompanha Almofadinha.</p>
<p> </p>
</div>
<p><strong>Tamanho P: </strong>25cm (A) x 45cm (L) x 30cm (C) </p>
<p><strong>Tamanho M: </strong>25cm (A) x 55cm (L) x 40cm (C) </p>
<p><strong>Tamanho G: </strong>25cm (A) x 65cm (L) x 50cm (C) </p>
<p> </p>
<p><strong>Itens Inclusos:</strong></p>
<p>1 Cama Dupla Face Lola </p>
<p>1 Almofadinha</p>
<p> </p>
<p><strong>Instruções de lavagem:</strong></p>
<p>Para melhor aproveitamento e durabilidade dos produtos Senhor Bicho®, é necessário ficar atento às recomendações a seguir:</p>
<p> </p>
<p>Por se tratar de um produto acolchoado (possui enchimento não removível) <strong>recomendamos a lavagem manual</strong>. A lavagem a máquina, com o tempo, pode causar deformação no enchimento;</p>
<p>Usar sabão neutro;</p>
<p>Misturar bem o sabão na água antes de colocar o produto;</p>
<p>Não utilizar alvejantes à base de cloro (água sanitária);</p>
<p>Mantenha a água por volta de 30°C;</p>
<p>Enxague bem para retirar todo o excesso de sabão e amaciante;</p>
<p>A secagem pode ser feita por centrifugação, em temperatura baixa;</p>
<p>Não usar Ferro;</p>
<p> </p>
<p>Seguindo essas recomendações você pode aumentar ainda mais a vida útil do seu produto. =)</p>
</div>]"
Copo Limpador Limpa Patas Patinhas de Cachorro Cão Pet;11004280;R$ 24,90;"[<div class=""descricao"" id=""descricao"">
<div id=""skuDescricaoExterna"">
</div>
<title></title>
<p>
<strong>Copo Limpador Limpa Patas Patinhas de Cachorro Cão Pet</strong></p>
<p>
			Este Copo Limpador é uma nova maneira de limpar as patas sujas do seu cão.<br/>
<br/>
			Ele apresenta uma série de cerdas de silicone macias e espessas dentro de um copo.</p>
<p>
			Projetado para não agredir a pata do seu cão, as cerdas de silicone suavemente afrouxam a lama e a sujeira, mantendo a sujeira dentro do recipiente e não na sua casa ou carro.<br/>
<br/>
			Muito simples de usar. Adicione um pouco de água no copo e insira uma das patinhas com sujeira, force a pata para cima e para baixo até sair os resíduos. Repita este processo nas outras patas.<br/>
<br/>
			Ótimo para viagens ao parque, caminhadas, corrida etc.</p>
<p>
<strong>Dimensões aproximadas:</strong></p>
<ul>
<li>
				Altura: 11 cm</li>
<li>
				Diâmetro: 9,4 cm</li>
<li>
				Peso: 160 g</li>
</ul>
<p>
<strong>Material:</strong></p>
<ul>
<li>
				Silicone</li>
<li>
				Plástico PP</li>
</ul>
<p>
<strong>Incluso:</strong></p>
<ul>
<li>
				01 Copo limpa patas</li>
</ul>
<p>
			 </p>
<p>
			 </p>
<noscript><img src=""https://www.extra.com.br/akam/11/pixel_5ecd430b?a=dD1kODE0ZGI4ZGFhYTEyZmI2ZTU0ZDZlOWJjZTRhNjFiZTZlMDVjMzAxJmpzPW9mZg=="" style=""visibility: hidden; position: absolute; left: -999px; top: -999px;""/></noscript><script type=""text/javascript"">var _cf = _cf || []; _cf.push(['_setFsp', true]); _cf.push(['_setBm', true]); _cf.push(['_setAu', '/resources/e90b424da6200d247871c50da6f728']);</script><script src=""/resources/e90b424da6200d247871c50da6f728"" type=""text/javascript""></script>
</div>]"
Cama Pet Luxo 50cm Lillo & Stitch Pelucia;8091692;R$ 169,90;"[<div class=""descricao"" id=""descricao"">
<div id=""skuDescricaoExterna"">
</div>
<p>Que Luxo! Linda caminha produzida em uma junção de tecidos pelúcia velboa e carapinha que além de dar um toque especial, proporciona um maior conforto ao seu pet.</p>
<p>Tamanho: 50cm x 40cm x 15cm</p>
<p>Almofada removível que facilita a limpeza;</p>
<p>Fundo Impermeável</p>
<p>Cuidados:</p>
<p>Lavável a mão, não usar alvejante, secagem ao natural, não passar e limpeza a seco profissional em processo suave.</p>
<p><strong>* Ideal para pets de até 6 kg</strong></p>
</div>]"
